Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0037000000,0.0008000000,0.0043000000,0.0017000000,0.0003000000,0.0001000000,0.0001000000,0.0001000000
5000,0.0840000000,0.0203333333,0.1100000000,0.0500000000,0.0016000000,0.0009000000,0.0007000000,0.0009000000
10000,0.3400000000,0.0690000000,0.4670000000,0.2120000000,0.0028000000,0.0015000000,0.0012000000,0.0015000000
50000,11.1990000000,2.1400000000,11.8340000000,7.1470000000,0.0173333333,0.0145000000,0.0090000000,0.0083333333
