Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0000000000,0.0000000000,0.0046000000,0.0000000000,0.0002000000,0.0002000000,0.0028000000,0.0000000000
5000,0.0001000000,0.0000000000,0.1220000000,0.0000000000,0.0008000000,0.0002000000,0.0810000000,0.0003000000
10000,0.0001000000,0.0003000000,0.5000000000,0.0002000000,0.0020000000,0.0017000000,0.3960000000,0.0008000000
50000,0.0004000000,0.0004000000,12.0380000000,0.0004000000,0.0088333333,0.0045000000,8.5190000000,0.0042000000
