Tamano,Bubble,Insertion,Selection,Cocktail,Merge,MergeOpt,QuickUlt,QuickMed
1000,0.0063750000,0.0024000000,0.0061111111,0.0030000000,0.0001000000,0.0003000000,0.0026000000,0.0001000000
5000,0.1180000000,0.0350000000,0.1150000000,0.0690000000,0.0006000000,0.0004000000,0.0550000000,0.0007000000
10000,0.5140000000,0.1650000000,0.5100000000,0.2490000000,0.0016000000,0.0008000000,0.1890000000,0.0014000000
50000,12.3040000000,4.9830000000,11.7510000000,6.7780000000,0.0102000000,0.0049000000,3.8680000000,0.0085000000
